CPUCount,edited_radial_points.0,edited_scans.0,job.cluster.@attributes.name,job.jobParameters.bucket_fixed.@attributes.fixedtype,job.jobParameters.bucket_fixed.@attributes.value,job.jobParameters.bucket_fixed.@attributes.xtype,job.jobParameters.bucket_fixed.@attributes.ytype,job.jobParameters.conc_threshold.@attributes.value,job.jobParameters.demes.@attributes.value,job.jobParameters.generations.@attributes.value,job.jobParameters.k_grid.@attributes.value,job.jobParameters.mc_iterations.@attributes.value,job.jobParameters.migration.@attributes.value,job.jobParameters.mutate_sigma.@attributes.value,job.jobParameters.p_mutate_k.@attributes.value,job.jobParameters.p_mutate_s.@attributes.value,job.jobParameters.p_mutate_sk.@attributes.value,job.jobParameters.plague.@attributes.value,job.jobParameters.population.@attributes.value,job.jobParameters.regularization.@attributes.value,job.jobParameters.req_mgroupcount.@attributes.value,job.jobParameters.s_grid.@attributes.value,job.jobParameters.seed.@attributes.value,simpoints.0,CPUTime,max_rss,wallTime
16,1042,20,33,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,1818,723,3858	v1.0-uslims3_Canterbury-4907
24,947,148,7,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,9319,1697,9330	v1.0-uslims3_CU_Boulder-5765
36,1003,60,22,2,0.0,3,1,1e-05,31,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,537,2155,554	v1.0-uslims3_CAUMA-16109
288,829,230,22,2,0.0,3,1,1e-05,31,100,100,50,3,20,20,20,20,4,100,0.05,8,100,0,200,2728,153120,2824	v1.0-uslims3_CAUMA-11705
24,981,59,16,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,1448,951,1504	v1.0-uslims3_HI-822
192,279,599,7,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,8,100,0,200,1148,75411,1242	v1.0-uslims3_Aalto-1697
24,1083,49,21,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,1412,920,1673	v1.0-uslims3_CU_Boulder-12511
192,844,259,7,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,8,100,0,200,1288,68534,1306	v1.0-uslims3_Canterbury-898
288,1072,148,22,2,0.0,3,1,1e-05,31,100,100,50,3,0,20,20,20,4,200,0.05,8,100,0,200,28643,217585,28706	v1.0-uslims3_ColoState-8398
32,1229,349,12,2,0.0,3,1,1e-05,31,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,1866,2712,1901	v1.0-uslims3_CAUMA-16717
24,1105,259,21,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,1,100,0,200,20612,53541,21403	v1.0-uslims3_UMICH-5994
16,1115,179,10,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,8,100,0,200,40664,66344,621368	v1.0-uslims3_CCH-70338
192,831,49,7,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,8,100,0,200,1626,36825,5288	v1.0-uslims3_CU_Boulder-846
16,838,300,30,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,989,1103,3761	v1.0-uslims3_Aalto-642
96,855,69,7,2,0.0,3,1,1e-05,1,100,100,48,3,0,20,20,20,4,200,0.05,4,100,0,200,6954,44916,7091	v1.0-uslims3_CU_Boulder-14973
256,1118,31,28,-1,0.0,-1,-1,1e-05,31,100,100,50,3,20,20,20,20,4,100,0.05,8,100,0,200,1104,54612,3546	v1.0-uslims3_IUBloom-1355
16,1112,217,10,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,13339,2314,60735	v1.0-uslims3_CCH-69958
24,782,87,7,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,13855,3989,14085	v1.0-uslims3_CU_Boulder-9461
32,1000,137,12,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,27941,3511,28012	v1.0-uslims3_CU_Boulder-4002
128,971,108,26,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,4,100,0,200,6080,55521,6108	v1.0-uslims3_CU_Boulder-6228
96,965,56,21,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,4,100,0,200,13272,44766,13287	v1.0-uslims3_CU_Boulder-8028
128,990,59,26,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,4,100,0,200,12405,60091,40794	v1.0-uslims3_ColoState-10167
36,1104,58,22,2,0.0,3,1,1e-05,31,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,1484,2617,1513	v1.0-uslims3_CAUMA-16249
256,847,79,26,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,8,100,0,200,6882,67053,6909	v1.0-uslims3_CU_Boulder-2292
96,802,84,21,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,4,100,0,200,13932,44303,13901	v1.0-uslims3_UofL-696
96,846,48,7,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,4,100,0,200,6765,46683,6822	v1.0-uslims3_CU_Boulder-8823
32,1241,49,26,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,3901,1677,3927	v1.0-uslims3_IUBloom-2428
24,1034,307,21,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,7862,2738,8294	v1.0-uslims3_mayo-477
288,1014,65,22,2,0.0,3,1,1e-05,31,100,100,50,3,0,20,20,20,4,200,0.05,8,100,0,200,22137,141225,23291	v1.0-uslims3_ColoState-8250
32,1002,52,2,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,992,5290,1011	v1.0-uslims3_CCH-92365
32,718,86,28,0,0.0,0,0,1e-05,31,100,100,1,3,20,20,20,20,4,100,0.05,1,100,0,200,327,668,5105	v1.0-uslims3_KAUST-2597
192,844,1490,21,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,8,100,0,200,17225,135411,17212	v1.0-uslims3_CAUMA-30670
192,1133,208,25,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,8,100,0,200,11096,158430,150484	v1.0-uslims3_CCH-68928
96,915,500,21,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,4,100,0,200,21362,123046,84616	v1.0-uslims3_GaTech-67
128,883,200,13,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,4,100,0,200,9300,86356,9346	v1.0-uslims3_CU_Boulder-4416
2,992,120,26,2,0.0,3,1,1e-05,31,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,5771,1143,5795	v1.0-uslims3_CAUMA-14020
24,1067,91,21,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,3481,1542,3574	v1.0-uslims3_CCH-5450
32,954,219,5,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,932,6227,971	v1.0-uslims3_mayo-5861
32,958,25,28,-1,0.0,-1,-1,1e-05,31,100,100,1,3,20,20,20,20,4,100,0.05,1,100,0,200,106,487,131	v1.0-uslims3_IUBloom-1705
36,1037,136,22,2,0.0,3,1,1e-05,31,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,17566,4841,17641	v1.0-uslims3_ColoState-8065
16,876,319,27,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,4,100,0,200,14621,11072,14625	v1.0-uslims3_Aalto-129
192,835,66,21,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,8,100,0,200,3395,40926,5854	v1.0-uslims3_Canterbury-3197
24,1074,150,7,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,5085,1992,5130	v1.0-uslims3_CU_Boulder-1938
32,1085,89,11,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,685,5136,713	v1.0-uslims3_IUBloom-3861
256,996,123,26,2,0.0,3,1,1e-05,31,100,100,50,3,20,20,20,20,4,100,0.05,8,100,0,200,816,77822,862	v1.0-uslims3_ColoState-5383
1024,1097,479,23,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,32,100,0,200,6707,591062,6742	v1.0-uslims3_CCH-87687
192,895,62,16,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,8,100,0,200,1431,37464,1645	v1.0-uslims3_LU-50
24,916,59,1,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,3998,1303,4004	v1.0-uslims3_mayo-75
192,864,49,7,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,8,100,0,200,2886,56664,3170	v1.0-uslims3_Canterbury-681
288,1024,34,22,4,1.0,3,3,1e-05,31,100,100,50,3,0,20,20,20,4,200,0.05,8,100,0,200,3975,112094,4084	v1.0-uslims3_EPFL-804
288,1038,172,22,2,0.0,3,1,1e-05,31,100,100,50,3,0,20,20,20,4,200,0.05,8,100,0,200,11477,197645,11506	v1.0-uslims3_ColoState-7050
24,903,1189,7,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,22155,4487,22278	v1.0-uslims3_GaTech-480
72,1097,1069,7,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,8,100,0,200,26107,101105,26045	v1.0-uslims3_CCH-34257
192,869,79,17,2,0.0,3,1,1e-05,1,100,100,48,3,0,20,20,20,4,200,0.05,8,100,0,200,5723,138959,5743	v1.0-uslims3_Uni_KN-27451
16,825,149,33,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,3084,1000,3087	v1.0-uslims3_Canterbury-4481
16,623,229,27,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,4,100,0,200,12622,9090,12688	v1.0-uslims3_Aalto-277
96,919,193,21,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,4,100,0,200,2694,49793,2723	v1.0-uslims3_CU_Boulder-13160
24,1052,148,7,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,20380,3690,20449	v1.0-uslims3_CU_Boulder-6012
24,818,99,7,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,1687,1688,1995	v1.0-uslims3_CU_Boulder-16733
32,1132,300,5,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,1,100,0,200,158994,296060,159032	v1.0-uslims3_UMICH-7250
24,874,45,21,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,141,516,473	v1.0-uslims3_UofL-965
24,1009,62,16,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,2915,971,2917	v1.0-uslims3_Elion-55
192,887,200,21,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,8,100,0,200,1291,29772,1279	v1.0-uslims3_Uni_KN-19860
32,775,240,26,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,1259,1986,1296	v1.0-uslims3_UMICH-2783
256,879,51,11,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,8,100,0,200,1661,295034,14484	v1.0-uslims3_unimelb-1996
192,857,49,7,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,8,100,0,200,4318,58868,4533	v1.0-uslims3_Canterbury-683
24,711,1000,21,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,5532,2682,5522	v1.0-uslims3_CAUMA-29930
192,955,417,25,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,8,100,0,200,13461,187020,152198	v1.0-uslims3_CCH-68904
32,1119,162,5,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,3403,7299,3426	v1.0-uslims3_CCH-69637
36,956,55,22,2,0.0,3,1,1e-05,31,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,3828,3024,4123	v1.0-uslims3_ColoState-8491
32,1111,126,5,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,12316,8444,12438	v1.0-uslims3_CCH-70777
24,942,53,7,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,1089,776,10162	v1.0-uslims3_Canterbury-2069
24,814,69,21,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,898,869,2014	v1.0-uslims3_Canterbury-3192
32,1177,372,5,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,45523,15784,45551	v1.0-uslims3_CCH-68661
36,1028,58,22,2,0.0,3,1,1e-05,31,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,749,2465,779	v1.0-uslims3_ColoState-8524
24,945,198,21,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,4609,1896,4624	v1.0-uslims3_mayo-570
192,935,48,1,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,8,100,0,200,141,54998,302	v1.0-uslims3_UMassMed-5188
32,779,148,5,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,4175,7778,4209	v1.0-uslims3_CU_Boulder-19167
96,905,137,7,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,4,100,0,200,15175,65524,15672	v1.0-uslims3_CU_Boulder-4664
24,866,200,7,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,958,946,968	v1.0-uslims3_Aalto-101
24,843,600,7,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,1786,1985,37540	v1.0-uslims3_Aalto-77
512,1168,157,11,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,4,100,0,200,7919,1431246,7937	v1.0-uslims3_CCH-70937
16,1097,378,10,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,8,100,0,200,105037,106535,302921	v1.0-uslims3_CCH-70319
24,1024,175,21,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,4411,2323,4430	v1.0-uslims3_CU_Boulder-2186
96,802,145,16,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,4,100,0,200,22889,65027,49547	v1.0-uslims3_CU_Boulder-11323
256,1098,99,26,2,0.0,3,1,1e-05,31,100,100,50,3,20,20,20,20,4,100,0.05,8,100,0,200,3459,86270,3779	v1.0-uslims3_CAUMA-12197
192,1006,74,7,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,8,100,0,200,2591,41839,2606	v1.0-uslims3_ColoState-9892
24,1036,70,21,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,3089,1597,3122	v1.0-uslims3_UofL-1134
96,1141,271,25,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,4,100,0,200,20540,181047,55315	v1.0-uslims3_CCH-70875
192,757,259,7,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,8,100,0,200,3194,73426,6770	v1.0-uslims3_Aalto-1417
24,1020,149,21,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,4058,2122,4836	v1.0-uslims3_CU_Boulder-6701
24,935,49,1,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,20,463,173	v1.0-uslims3_UMassMed-5162
24,790,122,21,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,13668,3769,13699	v1.0-uslims3_CU_Boulder-8745
256,1105,1242,11,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,8,100,0,200,16292,502729,16210	v1.0-uslims3_CCH-33930
24,1047,39,1,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,3643,1000,3707	v1.0-uslims3_ColoState-9744
128,1118,20,11,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,2,100,0,200,505,401170,573	v1.0-uslims3_FAU-13614
24,1111,269,21,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,13321,3874,13354	v1.0-uslims3_UMICH-4346
32,1218,95,5,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,4410,7897,4447	v1.0-uslims3_CCH-69661
16,1083,396,10,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,6094,1903,33725	v1.0-uslims3_CCH-69930
24,908,259,7,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,1,100,0,200,12520,77504,12553	v1.0-uslims3_UMICH-5987
96,1123,91,21,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,4,100,0,200,3491,44227,7721	v1.0-uslims3_IUBloom-3367
36,867,131,22,2,0.0,3,1,1e-05,31,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,4046,4351,4161	v1.0-uslims3_ColoState-8832
24,1083,72,21,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,761,991,792	v1.0-uslims3_UofL-1104
24,977,150,7,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,3830,1325,4068	v1.0-uslims3_CU_Boulder-5757
256,815,99,26,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,8,100,0,200,7619,71148,11647	v1.0-uslims3_CU_Boulder-2577
96,879,123,21,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,4,100,0,200,42779,78712,44588	v1.0-uslims3_CU_Boulder-17539
288,989,125,22,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,8,100,0,200,4749,125225,4926	v1.0-uslims3_IUBloom-2170
2,884,88,26,2,0.0,3,1,1e-05,31,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,711,67,737	v1.0-uslims3_ColoState-6483
128,846,73,11,2,0.0,3,1,1e-05,1,100,100,48,3,0,20,20,20,4,200,0.05,4,100,0,200,1962,209246,2464	v1.0-uslims3_CU_Boulder-18457
288,870,118,22,2,0.0,3,1,1e-05,31,100,100,50,3,0,20,20,20,4,200,0.05,8,100,0,200,1148,126002,1184	v1.0-uslims3_ColoState-6545
288,163,153,22,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,8,100,0,200,877,94711,5693	v1.0-uslims3_Uni_KN-4775
32,1135,300,11,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,1,100,0,200,17833,264736,17854	v1.0-uslims3_UMICH-6894
96,807,194,7,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,4,100,0,200,49284,80725,49311	v1.0-uslims3_CU_Boulder-9606
24,994,101,7,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,3054,1285,3206	v1.0-uslims3_IUBloom-2946
24,944,124,21,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,22148,4327,24202	v1.0-uslims3_CU_Boulder-7691
24,830,129,21,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,2192,1260,2279	v1.0-uslims3_CU_Boulder-12608
24,858,105,21,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,444,958,478	v1.0-uslims3_CU_Boulder-17093
256,986,762,11,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,8,100,0,200,9523,412694,9437	v1.0-uslims3_CCH-34051
24,961,39,1,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,228,552,380	v1.0-uslims3_UMassMed-5156
512,1124,77,11,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,4,100,0,200,1629,1234691,1657	v1.0-uslims3_CCH-79602
24,950,45,16,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,777,708,859	v1.0-uslims3_UofL-1039
32,935,35,11,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,122,4154,147	v1.0-uslims3_Canterbury-3838
192,892,479,21,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,8,100,0,200,7090,105143,12452	v1.0-uslims3_CCH-11464
36,1006,57,22,2,0.0,3,1,1e-05,31,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,22037,6144,22119	v1.0-uslims3_ColoState-8662
96,1077,89,7,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,4,100,0,200,44795,102416,44828	v1.0-uslims3_CU_Boulder-3086
16,1003,526,10,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,8,100,0,200,163452,78384,163454	v1.0-uslims3_CCH-68361
24,1055,128,7,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,2552,1642,2566	v1.0-uslims3_Canterbury-1429
16,852,349,31,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,5303,1560,11104	v1.0-uslims3_Aalto-714
192,1002,59,7,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,8,100,0,200,10805,44970,10818	v1.0-uslims3_ColoState-9673
24,976,177,1,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,1276,1222,1284	v1.0-uslims3_mayo-397
32,1002,58,1,2,0.0,3,1,1e-05,31,100,100,50,3,20,20,20,20,4,100,0.05,8,100,0,200,1966,17737,1974	v1.0-uslims3_OSU-292
96,976,162,7,2,0.0,3,1,1e-05,1,100,100,50,3,0,20,20,20,4,200,0.05,4,100,0,200,21379,80561,21389	v1.0-uslims3_CU_Boulder-8142
24,834,197,7,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,1208,1318,8141	v1.0-uslims3_Canterbury-755
16,882,319,27,2,0.0,3,1,1e-05,1,100,100,64,3,0,20,20,20,4,200,0.05,4,100,0,200,15118,12179,15122	v1.0-uslims3_Aalto-128
32,790,73,11,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,139,4384,175	v1.0-uslims3_CU_Boulder-18948
36,1243,100,22,2,0.0,3,1,1e-05,31,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,14046,5607,14283	v1.0-uslims3_ColoState-9033
128,1050,110,2,2,0.0,3,1,1e-05,1,100,100,48,3,0,20,20,20,4,200,0.05,4,100,0,200,24132,206659,24149	v1.0-uslims3_CU_Boulder-18795
32,1002,52,2,2,0.0,3,1,1e-05,1,100,100,1,3,0,20,20,20,4,200,0.05,1,100,0,200,895,5298,913	v1.0-uslims3_CCH-92361
